,1,1,1,1,1,2,2,2,2,2,datums,periode,niveau,vak,reeks
,time,event,docent,training,observatie,time,event,docent,training,observatie,,8,vwo,wiskunde A,examencursus
0,08:30:00,Cursusintro,Levi,[],,08:30:00,Differentiëren regels,Levi,[],,2025-02-01,,,,
1,08:45:00,Structureren,Levi,[],cl,08:45:00,Differentiëren regels,Levi,[],,2025-02-02,,,,
2,09:00:00,Structureren,Levi,[],cl,09:00:00,Differentiëren regels,Levi,[],,,,,,
3,09:15:00,Structureren,Levi,[],,09:15:00,,,[],,,,,,
4,09:30:00,,,[],,09:30:00,,,[],,,,,,
5,09:45:00,,,[],,09:45:00,,,[],,,,,,
6,10:00:00,,,[],,10:00:00,,,[],,,,,,
7,10:15:00,,,[],,10:15:00,,,[],,,,,,
8,10:30:00,Onderzoeksopgave 1,Levi,[],,10:30:00,Pauze,,[],,,,,,
9,10:45:00,Onderzoeksopgave 1,Levi,[],,10:45:00,Pauze,,[],,,,,,
10,11:00:00,Pauze,,[],,11:00:00,Differentiëren soorten vragen,Levi,[],jr,,,,,
11,11:15:00,Pauze,,[],,11:15:00,Differentiëren soorten vragen,Levi,[],jr,,,,,
12,11:30:00,Algebra letter berekenen,Levi,[],cl,11:30:00,Differentiëren soorten vragen,Levi,[],,,,,,
13,11:45:00,Algebra letter berekenen,Levi,[],cl,11:45:00,,,[],,,,,,
14,12:00:00,,,[],,12:00:00,,,[],,,,,,
15,12:15:00,,,[],,12:15:00,,,[],,,,,,
16,12:30:00,,,[],,12:30:00,,,[],,,,,,
17,12:45:00,,,[],,12:45:00,,,[],,,,,,
18,13:00:00,Algebra omschrijven,Levi,[],cl,13:00:00,Pauze,,[],,,,,,
19,13:15:00,Algebra omschrijven,Levi,[],cl,13:15:00,Pauze,,[],,,,,,
20,13:30:00,Pauze,,[],,13:30:00,Pauze,,[],,,,,,
21,13:45:00,Pauze,,[],,13:45:00,FO Sinus,Levi,[],,,,,,
22,14:00:00,Pauze,,[],,14:00:00,FO Sinus,Levi,[],,,,,,
23,14:15:00,Algebra omschrijven,Levi,[],,14:15:00,,,[],,,,,,
24,14:30:00,Algebra omschrijven,Levi,[],,14:30:00,,,[],,,,,,
25,14:45:00,,,[],,14:45:00,,,[],,,,,,
26,15:00:00,,,[],,15:00:00,,,[],,,,,,
27,15:15:00,,,[],,15:15:00,,,[],,,,,,
28,15:30:00,,,[],,15:30:00,,,[],,,,,,
29,15:45:00,,,[],,15:45:00,Pauze,,[],,,,,,
30,16:00:00,FO Herkennen & Expo,Levi,[],,16:00:00,Pauze,,[],,,,,,
31,16:15:00,Pauze,,[],,16:15:00,Combinatoriek,Levi,[],,,,,,
32,16:30:00,Pauze,,[],,16:30:00,Combinatoriek,Levi,[],,,,,,
33,16:45:00,FO Herkennen & Expo,Levi,[],,16:45:00,Combinatoriek,Levi,[],,,,,,
34,17:00:00,FO Herkennen & Expo,Levi,[],,17:00:00,,,[],,,,,,
35,17:15:00,,,[],,17:15:00,,,[],,,,,,
36,17:30:00,,,[],,17:30:00,,,[],,,,,,
37,17:45:00,,,[],,17:45:00,,,[],,,,,,
38,18:00:00,,,[],,18:00:00,Cursusevaluatie,Levi,[],,,,,,
39,18:15:00,Avondeten,,[],,18:15:00,Avondeten,,[],,,,,,
40,18:30:00,Avondeten,,[],,18:30:00,Avondeten,,[],,,,,,
41,18:45:00,Avondeten,,[],,18:45:00,Avondeten,,[],,,,,,
42,19:00:00,Avondeten,,[],,19:00:00,Avondeten,,[],,,,,,
43,19:15:00,,,[],,19:15:00,,,[],,,,,,
44,19:30:00,,,[],,19:30:00,,,[],,,,,,
45,19:45:00,,,[],,19:45:00,,,[],,,,,,
46,20:00:00,,,[],,20:00:00,,,[],,,,,,
47,20:15:00,,,[],,20:15:00,,,[],,,,,,
48,20:30:00,,,[],,20:30:00,,,[],,,,,,
49,20:45:00,,,[],,20:45:00,,,[],,,,,,
50,21:00:00,,,[],,21:00:00,,,[],,,,,,
51,21:15:00,,,[],,21:15:00,,,[],,,,,,
52,21:30:00,,,[],,21:30:00,,,[],,,,,,
53,,,,[],,,,,[],,,,,,
54,,,,[],,,,,[],,,,,,
