onderwerp,type,opgaven
Structureren,,"1, 3 t/m 9"
Algebra Letter Berekenen,Basis,15 t/m 18
Algebra Letter Berekenen,Examen,18 t/m 23
Algebra Omschrijven,Basis,38 t/m 42
Algebra Omschrijven,Examen,"60 t/m 64, 67, 66"
FO: Lineair & exponentieel,Basis,"78, 79"
FO: Lineair & exponentieel,Examen,"91, 93 t/m 96"
Differentiëren regels,Basis,144 t/m 148
Differentiëren regels,Examen,"155, 156, 159, 153"
Differentiëren Soorten Vragen,Basis,"163, 165, 161"
Differentiëren Soorten Vragen,Examen,"162, 164, 166, 168"
FO: Sinus,Basis,"107, 109, 110"
FO: Sinus,Examen,"111 t/m 113, 115"
Combinatoriek,Basis,"176, 177"
Combinatoriek,Examen,"179, 180, 182, 184, 185, 189"
Gemengd Oefenen,,"202, 205, 213, 219"
